cluster_id,centroid_lat,centroid_lon,student_count,avg_distance,max_distance,reachability_percentage
0,13.033365942004474,80.13965987167164,3,0.7023333333333334,0.799,13.636363636363635
1,12.817191024951475,79.70344741647584,7,0.6475714285714285,0.987,25.0
2,13.124878825872928,80.21195085872509,3,0.8403333333333333,0.949,8.823529411764707
3,13.104333577998503,79.9060718457444,5,0.506,0.875,55.55555555555556
4,12.94563651245026,80.14561741755989,4,0.6805,0.951,20.0
5,13.071371200516387,79.6691896777827,3,0.8913333333333333,0.996,60.0
6,13.071661139171862,80.21717633538734,6,0.4435,0.607,15.0
7,13.101929490796344,80.13427190036788,6,0.6371666666666667,0.844,50.0
8,12.664979988149435,79.54066654214965,3,0.064,0.112,100.0
9,13.115083584883887,80.28614235019762,5,0.6911744780609499,0.9710649197010875,25.0
10,12.957463615080538,79.94437175705278,2,0.41115964894327944,0.42605798377709,40.0
11,13.274825374691169,80.26205263745764,3,0.4625827349194643,0.6150016849079332,75.0
12,13.037057150407984,80.27559832312537,4,0.5284593230163883,0.7408495714173347,80.0
13,13.047135384508763,80.19756732219119,9,0.8346791728665819,0.9723591769972301,28.125
14,13.082750547679424,80.16812082433053,17,0.588950142684239,0.9899260082491678,89.47368421052632
15,12.922791508548732,80.10291319962278,3,0.4234421362550847,0.4965847264410247,30.0
16,13.049080617416333,80.09656117997238,5,0.46002084756746864,0.4693070079193993,35.714285714285715
17,13.126328589235849,79.99868645111927,2,0.5480632724933516,0.7927438842534281,33.33333333333333
18,13.117037394198238,80.23374718049577,9,0.6274804376711238,0.9000566134401696,47.368421052631575
19,13.034369200526314,80.22319021324957,9,0.6071592476949099,0.8802319349994787,29.03225806451613
20,13.118839113698078,80.15008228354918,17,0.6066449613413945,0.974631536115115,73.91304347826086
21,12.80307647720602,80.02586842745451,2,0.5565196350765389,0.5894187431704004,66.66666666666666
22,13.162889294700104,80.25412013283696,4,0.55737005731091,0.9298046974760175,100.0
23,12.974661991516918,80.13518058432236,10,0.5013247651011137,0.9534970574083234,58.82352941176471
24,13.125415111493192,79.92686901130736,2,0.5923649658962683,0.7382419980364866,25.0
25,13.153346507390847,80.19919636544643,5,0.7520503403249238,0.8908521340775066,62.5
26,12.918334642202243,80.07156385894733,2,0.49606254313338227,0.5977013113855296,28.57142857142857
27,13.014704062317104,80.1190897862498,5,0.541045942081883,0.9257960561630401,45.45454545454545
28,12.91187127926991,80.1508699449836,4,0.6766112452011068,0.9917495445677446,26.666666666666668
29,13.095377399703544,80.10724842423109,8,0.5440750415766795,0.9662991557544189,72.72727272727273
30,13.033289457387122,80.16843655409163,7,0.7219354519188587,0.8438133085192419,33.33333333333333
31,13.085104562016104,80.25636544572943,5,0.5750895641884538,0.9132345939183961,33.33333333333333
32,13.132613690150206,80.16682151115721,6,0.5540144225671673,0.8663885200510504,50.0
33,13.064705227911558,80.14287962100876,3,0.613718635764381,0.7450928790942031,25.0
34,13.086444661000046,80.18704238528308,16,0.616982572026607,0.9154353060067377,47.05882352941176
35,12.927362013141964,79.88358601359812,2,0.5990501876427277,0.5990518065254907,100.0
36,13.062049678657244,80.23865903450654,3,0.5929448990394429,0.8175515549428262,25.0
37,13.118517158573093,80.09939693777771,11,0.5664594222410549,0.8639778802922389,57.89473684210527
38,12.965520688495543,80.19077041239474,7,0.8366309833162863,0.9745103235797561,31.818181818181817
39,13.055229114311045,80.27270350911007,12,0.4813413053677172,0.8740592366986161,92.3076923076923
40,12.88204077914526,80.07821425507676,3,0.7756165063971743,0.9866288102805613,42.857142857142854
41,13.15312242590439,80.06039963156061,2,0.4669111698677647,0.5301013961252922,40.0
42,12.84212507985059,79.69709881468842,7,0.5700050945680833,0.7838293026026822,70.0
43,13.095155490898872,80.22989942323387,10,0.718149533267731,0.9180193115028327,58.82352941176471
44,13.129831033146177,80.13149521985618,10,0.49949795800606,0.9540120562850988,76.92307692307693
45,13.092652013906886,80.00956825487712,3,0.4567786334306352,0.4633765991932613,60.0
46,12.926566520407048,80.1314282946725,7,0.6527118268137905,0.8450940939763623,63.63636363636363
47,12.995983375582323,80.0997315627561,4,0.5418748904619501,0.5720122373922791,80.0
48,13.043459935843593,80.11983960726997,12,0.5992927690057419,0.9155913175632375,48.0
49,13.110936712522806,80.19599194424066,3,0.7419369029912,0.930697799427232,18.75
50,13.15179245538342,80.23116217040436,3,0.5792081341088728,0.948861451567717,75.0
51,13.133514686686263,79.90910852123625,7,0.45534289046820353,0.8433198315291897,53.84615384615385
52,13.064515773969585,80.16695658273338,8,0.765629797119908,0.9672673690829192,53.333333333333336
53,13.23618298588717,80.16261502133787,2,0.8558178882984944,0.8558188464327194,100.0
54,13.129766962697145,80.247203436121,8,0.8213332826850304,0.9886525719491254,61.53846153846154
55,13.194500057422387,80.18562088849552,2,0.42895994900408246,0.42895994900408246,50.0
56,13.030553085701372,80.25826015615785,2,0.5175486239931822,0.59825637431334,22.22222222222222
57,13.21061677066473,80.27177980519252,2,0.25665424124430725,0.25665424554317573,100.0
58,13.092769025766225,79.66345263389007,3,0.6855407698023313,0.964128890382432,42.857142857142854
59,13.162787172032685,80.301270264274,4,0.491852211565416,0.6867726221929853,44.44444444444444
60,12.835577981522293,79.7096688867715,9,0.788852066974694,0.9347927488322878,81.81818181818183
61,12.981765002781467,80.22050329650652,5,0.7028177258841918,0.9277607685465277,41.66666666666667
